Actors,Title,X,Y
 Gugu Mbatha-Raw,Concussion,2015,7.2
 Gugu Mbatha-Raw,The Whole Truth,2016,6.2
 Gugu Mbatha-Raw,Irreplaceable You,2018,6.4
 Gugu Mbatha-Raw,The Cloverfield Paradox,2018,5.5
 Gugu Mbatha-Raw,Fast Color,2019,6.1
 Gugu Mbatha-Raw,Motherless Brooklyn,2019,6.8
 Gugu Mbatha-Raw,come away,2020,5.9
 Guido Caprino,Sweet Dreams,2016,6.5
 Guido Weber,Bibi Blocksberg,1997,5.6
 Guilherme Briggs,Historietas Assombradas: O Filme,2017,6.7
 Guilherme Briggs,Super Drags,2018,5.5
 Guilherme Briggs,Mystery Lab,2020,7.6
 Guilherme Prates,O Último Virgem,2016,4.8
 Guilherme Prates,Amor Assombrado,2019,5.2
 Guilherme Winter,Os Dez Mandamentos,2018,3.3
 Guillaume Aretos,Mr. Peabody and Sherman,2014,6.8
 Guillaume Baillargeon,The Walk,2015,7.3
 Guillaume Barrière,Mutafukaz,2015,7
 Guillaume Bouchède,Revenge,2018,6.4
 Guillaume Canet,Love Me If You Dare,2004,7.6
 Guillaume Canet,Sink or Swim,2019,7
 Guillaume Delorme,Romy,2009,6.1
 Guillaume Dolmans,Chocolate,2019,6.8
 Guillaume Gallienne,Yves Saint Laurent,2014,6.3
 Guillermo Arevalo,The Last Shaman,2017,6.7
 Guillermo Barros Schelotto,Boca Juniors Confidential,2018,6.4
 Guillermo Díaz,Half Baked,1998,6.7
 Guillermo Díaz,Scandal,2012,7.7
 Guillermo Iván,El desconocido,2017,7
 Guillermo Pfening,"El Patron, Radiografia de un crimen",2015,7.4
 Guillermo Pfening,Benavidezs Case,2016,4.9
 Guillermo Pfening,The Paramedic,2020,5.6
 Guillermo Santa Cruz,Chiquititas,1995,6.3
 Guillermo Toledo,Psiconautas,2016,6.9
 Guillermo Toledo,The Minions of Midas,2020,6.6
 Guinevere Turner,Go Fish,1994,5.6
 Guiomar Puerta,45 rpm,2019,7.3
 Gul Panag,Manorama Six Feet Under,2007,7.6
 Gul Panag,Fatso,2012,5.7
 Gull-Maj Norin,Karl Fredrik Reigns,1938,5.2
 Gulshan Devaiah,That Girl in Yellow Boots,2011,6.6
 Gulshan Devaiah,Shaitan,2011,7.2
 Gulshan Devaiah,Hunterrr,2015,7
 Gulshan Devaiah,The Man Who Feels No Pain,2019,7.4
 Gulshan Devaiah,Candyflip,2019,6
 Gulshan Grover,Ek Jaan Hain Hum,1983,6.5
 Gunnar Björnstrand,Persona,1967,8.1
 Gunnar Sjöberg,The Great Adventure,1955,6.8
 Gunnar Uddén,Pettson och Findus - Kattonauten,2000,6.1
 Guo-Qiang Cai,Sky Ladder: The Art of Cai Guo-Qiang,2016,7.3
 Guowei Ma,Wind Blast,2010,5.1
 Gupse Ozay,Görümce,2016,5
 Gurfateh Pirzada,Guilty,2020,5.4
 Gurmit Singh,Phua Chu Kang The Movie,2010,4.9
 Gurmit Singh,Taxi! Taxi!,2013,6.4
 Gurpreet Bhangu,Chauthi Koot,2016,6.5
 Gurpreet Ghuggi,Jatts in Golmaal,2013,6.3
 Gurpreet Ghuggi,Jatt James Bond,2014,6.7
 Gurpreet Ghuggi,Happy Go Lucky,2014,6.6
 Gurpreet Ghuggi,Motor Mitraan Di,2016,6.1
 Gurpreet Ghuggi,Lock,2016,6.1
 Gurpreet Ghuggi,Saadey CM Saab,2016,5.5
 Gurpreet Ghuggi,Mahi NRI,2017,6
 Gurpreet Ghuggi,Manje Bistre,2017,6.6
 Guru Somasundaram,Odu Raja Odu,2018,7
 Gus Birney,The Mist,2017,5.4
 Gustaf Hammarsten,Midnight Sun,2016,7.5
 Gustaf Skarsgård,Evil,2003,7.8
 Gustaf Skarsgård,Evils Wave,2003,7.8
 Gustaf Skarsgård,"Patrik, Age 1.5",2008,6.9
 Gustaf Skarsgård,Trust Me,2010,4.5
 Gustaf Skarsgård,Kon-Tiki,2013,7.2
 Gustaf Skarsgård,Vikings,2013,8.5
 Gustav Dyekjær Giese,Northwest,2013,6.8
 Gustavo Beck,Muito Romantico,2017,5.7
 Gustavo Egelhaaf,El Vato,2016,6.7
 Gustavo Egelhaaf,Hasta que la boda nos separe,2018,4.8
 Gustavo Egelhaaf,Mutiny of the Worker Bees,2020,4
 Gustavo Escobar,Instant Family,2018,7.3
 Gustavo Jahn,Muito Romantico,2017,5.7
 Gustavo Muñoz,The Mule,2018,7
 Gustavo Santaolalla,BREAK IT ALL: The History of Rock in Latin America,2020,7.7
 Gusti Rayhan,Dilan 1990,2018,7.2
 Gutto Szuster,The Chosen One,2019,5.6
 Guy Amir,Maktub,2017,7.4
 Guy Clemens,Weg van Jou,2017,6.4
 Guy Decomble,The 400 Blows,1959,8.1
 Guy Loel,Hashoter Hatov,2015,7.7
 Guy Marchand,Hold-Up,1985,6.6
 Guy Massey,Stranger than Fiction,2006,7.5
 Guy Pearce,Memento,2001,8.4
 Guy Pearce,The Time Machine,2002,6
 Guy Pearce,Two Brothers,2004,7.1
 Guy Pearce,The Hurt Locker,2009,7.5
 Guy Pearce,Lockout,2012,6.1
 Guy Pearce,Lawless,2012,7.3
 Guy Pearce,Iron Man 3,2013,7.1
 Guy Pearce,Breathe In,2013,6.4
 Guy Pearce,Results,2015,5.4
 Guy Pearce,Brimstone,2017,7.1
 Guy Pearce,Jack Irish: The Series,2017,7.8
 Guy Pearce,The Innocents,2018,6.3
 Guy Rhys,"Mary, Queen of Scots",2018,6.3
 Guy Walters,Hitlers Circle of Evil,2018,8
 Guz Khan,Man Like Mobeen,2017,7.9
 Gwei Lun-Mei,Ocean Heaven,2010,7.6
 Gwei Lun-Mei,The Big Call,2017,5.6
 Gwendolyn Lau,Drifters,2016,7.7
 Gwi-hwa Choi,The Outlaws,2017,7.2
 Gwi-hwa Choi,Homme Fatale,2019,6.9
 Gwi-hwa Choi,Long Live the King,2019,5.7
 Gwyneth Paltrow,Emma,1996,6.6
 Gwyneth Paltrow,A Perfect Murder,1998,6.5
 Gwyneth Paltrow,Hush,1998,5.5
 Gwyneth Paltrow,Shallow Hal,2001,5.9
 Gwyneth Paltrow,Infamous,2006,7
 Gwyneth Paltrow,Iron Man,2008,7.9
 Gwyneth Paltrow,Iron Man 2,2010,7
 Gwyneth Paltrow,Contagion,2011,6.7
 Gwyneth Paltrow,Iron Man 3,2013,7.1
 Gwyneth Paltrow,Thanks for Sharing,2013,6.4
 Gwyneth Paltrow,Mortdecai,2015,5.5
 Gwyneth Powell,Man Down,2013,7.7
 Gwénaël Sommier,Tchoupi,2004,6.1
 Gylfi Zoega,Inside Job,2010,8.2
 Gyo-jin In,Birth of a Beauty,2014,7
 Gys de Villiers,Die Ontwaking,2016,4.4
 Gyton Grantley,The Reef,2011,5.8
 Gyu-ri Kim,Raging Years,2004,6.2
 Gyu-ri Kim,Portrait of a Beauty,2008,6.5
 Gyula Balázsi,The Tragedy of Man,2011,8
 György Cserhalmi,Zelary,2003,7.6
 Gyözö Szabó,A Kind of America,2002,6.9
 Gábor Csöre,Manieggs: Revenge of the Hard Egg,2015,5
 Gábor Forgács,Manieggs: Revenge of the Hard Egg,2015,5
 Gábor Jászberényi,Strangled,2016,7
 Géraldine Bazán,Que Leones,2020,5.2
 Géraldine Pailhas,Young and Beautiful,2014,6.7
 Gérard Darmon,Betty Blue,1986,7.4
 Gérard Darmon,Bienvenue à bord,2011,5.5
 Gérard Depardieu,My American Uncle,1980,7.7
 Gérard Depardieu,The Woman Next Door,1981,7.3
 Gérard Depardieu,The Last Metro,1981,7.4
 Gérard Depardieu,Mesrine: Part 1: Killer Instinct,2008,7.5
 Gérard Depardieu,Asterix aux jeux olympiques,2008,5.2
 Gérard Depardieu,My Afternoons with Margueritte,2011,7.2
 Gérard Depardieu,Marseille,2016,6.9
 Gérard Depardieu,Sgt. Stubby: An American Hero,2018,6.9
 Gérard Hernandez,Fonzy,2013,5.2
 Gérard Lanvin,Get Well Soon,2014,5.8
 Gérard Lartigau,The Things of Life,1970,7.6
 Gérard Lecaillon,Funny Boy,1987,4.6
 Géza Morcsányi,On Body and Soul,2018,7.6
 Gô Ayano,Ushijima the Loan Shark Part 3,2010,6.8
 Gô Ayano,Ushijima The Loan Shark,2010,6.8
 Gô Ayano,Ushijima the Loan Shark The Final ,2014,6.8
 Gô Ayano,Ushijima The Loan Shark Part 2,2014,6.8
 Gô Ayano,The Snow White Murder Case,2014,7
 Gô Ayano,Piece of Cake,2015,6.1
 Gô Ayano,The Big Bee,2015,5.8
 Gô Ayano,A Bride for Rip Van Winkle,2016,7.2
 Gô Ayano,Twisted Justice,2016,6.3
 Gô Ayano,A Bride for Rip Van Winkle,2016,7.2
 Gô Ayano,64: Part 2,2016,6.3
 Gô Ayano,Shinjuku Swan 2,2017,5.3
 Gô Jibiki,A Bride for Rip Van Winkle,2016,7.2
 Gô Jibiki,A Bride for Rip Van Winkle,2016,7.2
 Gô Katô,Castle of Sand,1975,7.4
 Gô Morita,Himeanole,2016,6.8
 Gökben,Feride,1971,5.4
 Gökhan Kiraç,Şansımı Seveyim,2017,5
 Göran Ragnerstam,Ängelby,2015,6.1
 Gösta Ekman,Beware of the Jönsson Gang,1981,6.3
 Götz George,The Treasure of the Silver Lake ,1965,6.9
 Götz George,Winnetou and the Crossbreed,1973,5.8
 Götz George,Rossini,1997,6.4
 Götz George,Advertising Rules!,2001,5.8
 Götz George,Die Sturmflut,2006,5.3
 Gözde Türkpençe,Hot Sweet Sour,2017,6
 Gülseven Yilmaz,รรง Harfliler: Marid,2010,3.5
 Gümeç Alpay Aslan,Çat Kapı Aşk,2017,4.9
 Günter Lamprecht,Berlin Alexanderplatz,1983,8.6
 Gürkan Uygun,Hep Yek 2,2017,4.2
 Güven Murat Akpinar,Yok Artık!,2015,5.8
 H. Jon Benjamin,Archer,2009,8.6
 H. Jon Benjamin,Dean,2017,6.3
 H. Jon Benjamin,The Who Was? Show,2018,6.6
 H.G. Dattatreya,Hombanna,2017,8.3
 Ha Dong,Judge vs. Judge,2017,7.2
 Ha Ji-Won,Tidal Wave,2009,5.6
 Ha Ji-Won,Closer to Heaven,2009,6.6
 Ha Ji-Won,Tidal Wave,2009,5.6
 Ha Ji-Won,Sector 7,2011,4.6
 Ha Ji-Won,The King 2 Hearts,2012,7.8
 Ha Ji-Won,As One,2012,7
 Ha Ji-Won,The Huntresses,2014,5.5
 Ha Ji-Won,Chronicle of a Blood Merchant,2015,6.8
 Ha Ji-Won,The Time We Were Not In Love,2015,7.3
 Ha Ji-Won,Manhunt,2018,5.2
 Ha Ji-Won,Manhunt,2018,5.2
 Ha Seok-Jin,Something About 1%,2016,7.7
 Ha-jun You,Raging Years,2004,6.2
 Ha-ryong Lim,Good Morning President,2009,5.8
 Ha-ryong Lim,Closer to Heaven,2009,6.6
 Ha-seon Park,2 Weeks,2013,8
 Ha-seon Park,Midnight Runners,2017,7.2
 Habib Alberto,Taxi Ballad,2012,6
 Habib Hammoud,Out of Life,1991,6.8
 Hadewych Minis,Mannenharten 2,2015,5.7
 Hadi Choopan,Generation Iron 3,2018,6.2
 Hadi Subiyanto,Eat Pray Love,2010,5.8
 Hae-Jin Yoo,Tazza: The High Rollers,2006,7.2
 Hae-Jin Yoo,Woochi - The Demon Slayer,2009,6.6
 Hae-Jin Yoo,The Unjust,2010,6.7
 Hae-Jin Yoo,Tazza: The Hidden Card,2014,6.8
 Hae-Jin Yoo,Veteran,2015,7
 Hae-Jin Yoo,Confidential Assignment,2017,6.6
 Hae-Jin Yoo,A Taxi Driver,2017,7.9
 Hae-Jin Yoo,Love+Sling,2018,6
 Hae-Jin Yoo,The Battle: Roar to Victory,2019,6
 Hae-Joon Park,"Cheer Up, Mr. Lee",2019,6.9
 Hae-Joon Park,Tune in for Love,2019,7.1
 Hae-Joon Park,The World of the Married,2020,8.1
 Hae-Kyun Jung,Confession of Murder,2012,7.1
 Hae-hyo Kwon,Hotel by the River,2019,6.7
 Hae-soo Park,Prison Playbook,2017,8.4
 Haet-Sal Jang,Yongsoon,2017,5.8
 Hafid F. Benamar,2 Alone in Paris,2008,5.4
 Hafþór Júlíus Björnsson,Eddie - Strongman,2015,7.5
 Haha,Running Man,2010,9
 Hahm Eun-Jung,The Beast and the Beauty,2005,6.6
 Hai Mao,Someone,2016,6.4
 Hai Mao,Someone to Talk To,2016,6.4
 Hai-Qing,Finding Mr. Right,2013,6.4
 Hai-Qing,Operation Red Sea,2018,6.7
 Hailee Dyer,Dirty Money,2018,8.2
 Hailee Steinfeld,Enders Game,2013,6.6
 Hailee Steinfeld,3 Days to Kill,2014,6.2
 Hailee Steinfeld,Begin Again,2014,7.4
 Hailee Steinfeld,Pitch Perfect 2,2015,6.4
 Hailee Steinfeld,Term Life,2016,5.6
 Hailee Steinfeld,The Edge of Seventeen,2016,7.3
 Hailee Steinfeld,Spider-Man: Into the Spider-Verse,2018,8.4
 Hailee Steinfeld,Bumblebee,2018,6.8
 Hailey Bieber,The American Meme,2018,7
 Hairie Othman,Dewi,2001,6.7
 Hairul Azreen,Hantu Kapcai,2012,5.1
 Hairul Azreen,Paskal,2018,6.8
 Hairul Azreen,Wira,2019,6.3
 Hairul Azreen,All Because of You,2020,3.6
 Hajime Atsuta,Haunted School,1995,6.1
 Hajira Yamin,Pinky Memsaab,2018,6.5
 Hak-Cheol Kim,True Fiction,2018,6.1
 Hak-joo Lee,Sweet Munchies,2020,7
 Hakan Akin,Kral Şakir Korsanlar Diyarı,2019,4.7
 Hakan Atalay,Kardeşim Benim,2016,5.9
 Hakan Ural,Ketenpere,2017,4.4
 Hakan Yufkacigil,Filinta,2014,6.7
 Hakeem Kae-Kazim,Hotel Rwanda,2005,8.1
 Hakim Faris,I Lost My Body,2019,7.6
 Hal Holbrook,The Firm,1993,6.8
 Hal Linden,Grand-Daddy Day Care,2019,4.9
 Hal Scardino,The Indian in the Cupboard,1995,6
 Hala Finley,Bobbleheads The Movie,2020,3.2
 Haleem Aljabri,Hajwala: The Missing Engine,2016,2.1
 Haley Bennett,The Girl on the Train,2016,6.5
 Haley Bennett,Hardcore,2016,6.7
 Haley Bennett,The Girl on the Train,2016,6.5
 Haley Bennett,Hillbilly Elegy,2020,6.8
 Haley Carter Chapel,Transformers Rescue Bots Academy,2019,6.9
 Haley Hudson,The Pact,2012,5.8
 Haley Joel Osment,Pay It Forward,2000,7.2
 Haley Joel Osment,A.I. Artificial Intelligence,2001,7.2
 Haley Joel Osment,Almost Friends,2017,5.9
 Haley Lu Richardson,Split,2017,7.3
 Haley Lu Richardson,Columbus,2017,7.2
 Haley Ramm,Seven in Heaven,2018,5.3
 Haley Tju,The Massively Mixed-Up Middle School Mystery,2015,7.2
 Hali Beth Muller,Maya the Bee,2012,5.7
 Halimar Abubakar,Okafors Law,2017,5.2
 Halimat Adegbola,Mokalik (Mechanic),2019,6.3
 Halina Reijn,Conspiracy of Silence,2018,6.5
 Halit Ergenç,İstanbul Kırmızısı,2017,5.5
 Halle Berry,Boomerang,1992,5.5
 Halle Berry,Executive Decision,1996,6.4
 Halle Berry,Swordfish,2001,6.5
 Halle Berry,Gothika,2003,5.8
 Halle Berry,Catwoman,2004,3.4
 Halle Berry,Robots,2005,6.3
 Halle Berry,Perfect Stranger,2007,5.7
 Halle Berry,Cloud Atlas,2012,7.4
 Halle Berry,Dark Tide,2012,4.3
 Halle Berry,The Call,2013,6.7
 Halle Berry,The Call,2013,6.7
 Halle Berry,The Call,2013,6.7
 Halle Berry,Kevin Hart: What Now?,2016,5.9
 Halle Berry,Kidnap,2017,5.9
 Halle Berry,John Wick: Chapter 3 - Parabellum,2019,7.4
 Halston Sage,Before I Fall,2017,6.5
 Halston Sage,You Get Me,2017,4.6
 Haluk Bilginer,Forget About Nick,2017,5.3
 Haluk Bilginer,Stuck Apart,2021,6.1
 Hamilton Morris,Sweet Country,2018,6.9
 Hamza Haq,No Escape Room,2018,5.2
 Hamza Meziani,Nocturama,2017,6.4
 Hamzeh Okab,Jinn,2019,3.5
 Han Chang,Someday or One Day,2019,8.6
 Han Gi-Joong,The Attorney,2013,7.7
 Han Hyo-joo,Shining Inheritance,2009,7.7
 Han Hyo-joo,Masquerade,2012,7.8
 Han Hyo-joo,Miracle: Devil Claus Love and Magic,2014,6.2
 Han Hyo-joo,The Beauty Inside,2015,7.4
 Han Hyo-joo,Cest Si Bon,2015,6
 Han Hyo-joo,"Love, Lies",2016,6.5
 Han Ji-min,Cain and Abel,2009,7.7
 Han Ji-min,Detective K: Secret of Virtuous Widow,2011,6.3
 Han Ji-min,Rooftop Prince,2012,7.8
 Han Ji-min,"Hyde, Jekyll, Me",2015,7
 Han Ji-min,Keys To The Heart,2018,7.5
 Han Ji-min,Familiar Wife,2018,7.5
 Han Ji-min,Miss Baek,2018,6.6
 Han Ji-min,The Light in Your Eyes,2019,8
 Han Ji-min,One Spring Night,2019,7.9
 Han'nya,Cherry Boys,2018,4.5
 Han-byeol Park,Whispering Corridors 3: Wishing Stairs,2003,5.9
 Hana Burnett,Luo Bao Bei,2018,7.7
 Hana Hayes,The Grinder,2015,7.1
 Hana Hegerová,If a Thousand Clarinets,1965,7
 Hana Laslo,Mossad 101,2015,6.8
 Hana Mae Lee,The Babysitter,2017,6.3
 Hana Shiha,Before the Summer Crowds,2015,5.3
 Hana Slivková,The Shop on Main Street,1966,8.2
 Hana Sugisaki,Pieta in the Toilet,2015,6.5
 Hana Sugisaki,Her Love Boils Bathwater,2016,7.5
 Hana Sugisaki,Ten Years Japan,2018,5.6
 Hana Sugisaki,Perfect World,2018,5.7
 Hana Sugisaki,Bleach,2018,6.4
 Hana Vagnerová,Icing,2014,5.5
 Hanan Adel,Eye of the Sun,2009,6.9
 Hanan Savyon,Maktub,2017,7.4
 Hanan Youssef,Eye of the Sun,2009,6.9
 Handan Adali,Bücür,1964,5.6
 Hande Dogandemir,Kaybedenler Kulubu,2018,6
 Hande Katipoglu,Hababam Sınıfı Yeniden,2019,2.2
 Hande Subasi,Anadolu Kartallari,2011,6.2
 Hang-na Lee,Fourth Place,2016,7.1
 Hani Adel,Heliopolis,2009,6.5
 Hani Adel,Clash,2016,7.5
 Hank Aaron,The Black Godfather,2019,7.4
 Hank Azaria,Love and Other Drugs,2010,6.7
 Hanna Ardéhn,Quicksand,2019,7.5
 Hanna Brown,Honeymoon,2014,5.7
 Hanna Longo,Amateur,2018,5.9
 Hanna Mangan Lawrence,Red Dog: True Blue,2016,6.4
 Hanna Mangan Lawrence,Sweetheart,2020,5.8
 Hanna Obbeek,Achtste-groepers huilen niet,2012,7.5
 Hanna Schygulla,Berlin Alexanderplatz,1983,8.6
 Hanna Verboom,Miffy the Movie,2013,6.1
 Hannah An,Cocomelon,2020,5.1
 Hannah Arterton,The Five,2016,7.7
 Hannah Barlow,Two Sentence Horror Stories,2017,5.6
 Hannah Cagwin,Casting JonBenet,2017,6.1
 Hannah Daniel,Hinterland,2015,7.6
 Hannah Emily Anderson,Jigsaw,2017,5.8
 Hannah Emily Anderson,What Keeps You Alive,2018,5.7
 Hannah Gonera,A Horse Called Wish,2019,6.4
 Hannah Gordon,Rev,2020,5
 Hannah Herzsprung,Traumfrauen,2015,5.4
 Hannah John-Kamen,Black Mirror,2011,8.8
 Hannah Kasulka,The Exorcist,2016,8
 Hannah Marks,Dirk Gentlys Holistic Detective Agency,2016,8.3
 Hannah Marks,Banana Split,2020,6.2
 Hannah Monson,Glitch,2016,7.3
 Hannah Murray,Skins,2011,8.2
 Hannah New,Black Sails,2014,8.2
 Hannah Simone,New Girl,2011,7.7
 Hannah Simone,Killing Gunther,2017,4.8
 Hannah Ware,The Angel,2018,6.6
 Hannah van der Westhuysen,Fate: The Winx Saga,2021,7
 Hannalore Gerling-Dunsmore,Behind the Curve,2018,6.5
 Hannelore Elsner,A Girl Called Rosemarie,1996,6.4
 Hannelore Elsner,100 Things,2018,6.4
 Hans Alfredson,The Simple Minded Murderer,1985,7.6
 Hans Chung,See You in Time,2017,7.3
 Hans Conried,The Bulbuls Nest,1941,6.6
 Hans Escher,Ich Seh Ich Seh,2015,6.7
 Hans Matheson,Bathory,2008,5.8
 Hans Wassmann,Ronny & Klaid,1932,5.6
 Hans Werner Meyer,Two Days of Hope,2003,6.6
 Hans Zhang,Here to Heart,2018,7.6
 Hans-Erik Dyvik Husby,Cornelis,2010,6.3
 Hans-Jürgen Brennecke,The Accountant of Auschwitz,2019,7.3
 Hans-Peter Korff,Pappa ante Portas,1991,7.9
 Hansika Motwani,Theeya Velai Seyyanum Kumaru,2013,6.1
 Hansraj Jagtap,Sur Sapata,2019,7.6
 Hanssel Casillas,All the Freckles in the World,2019,5.2
 Hanwe Chang,Misfit 2,2019,5.5
 Hany Al-Adawy,Ms. Mammy,2012,4.7
 Hany El Metennawy,Before the Summer Crowds,2015,5.3
 Hanyu Zhang,Assembly,2007,7.3
 Hanyu Zhang,Look for a Star,2009,5.6
 Hanyu Zhang,Mr. Six,2015,7
 Hanyu Zhang,Operation Mekong,2016,6.6
 Hanyu Zhang,Manhunt,2018,5.2
 Hanyu Zhang,Manhunt,2018,5.2
 Hao Chen,Ne Zha,2019,7.5
 Hao Chen,Flavorful Origins,2019,7.7
 Hao Qin,Burning Ice,2017,7.6
 Hao Zheng,The Road Home,2001,7.8
 Hao-Ming Chang,KO One,2005,5.4
 Harald Koch,Birthday,2001,6
 Harald Krassnitzer,Bruno,2009,4.8
 Harbhajan Mann,Haani,2013,7.1
 Harbhajan Mann,Gaddar: the Traitor,2015,6.4
 Harbhajan Mann,Saadey CM Saab,2016,5.5
 Hardee Kirkland,A Perfect Crime,1921,6.3
 Hardy Krüger Jr.,Operation Valkyrie,2004,6.8
 Hareesh Peradi,Vanjagar Ulagam,2018,6.1
 Hari Nef,Assassination Nation,2018,5.9
 Haripriya,Muran,2011,6.4
 Harish Chhabra,Halkaa,2018,7.2
 Harjap Singh Bhangal,Jindua,2017,6.6
 Harman Baweja,Whats Your Raashee?,2009,4.6
 Harold Bergman,Double Trouble,1984,7.2
 Harold Hopkins,Joey,1997,4.6
 Harold Perrineau,Romeo + Juliet,1996,6.7
 Harold Perrineau,28 Weeks Later,2007,7
 Harold Ramis,Ghostbusters,1984,7.8
 Harold Ramis,Ghostbusters 2,1989,6.6
 Harpo Marx,Animal Crackers,1930,7.5
 Harriet Ball,Waiting for Superman,2010,7.5
 Harriet Cains,Bridgerton,2020,7.3
 Harriet Dyer,The Invisible Man,2020,7.1
 Harriet Manamela,Vaya,2017,7.6
 Harriet Walter,Sense and Sensibility,1996,7.6
 Harris Dickinson,Beach Rats,2018,6.4
 Harris Yulin,Fur: An Imaginary Portrait of Diane Arbus,2006,6.5
 Harrison Fahn,Ice Age: Dawn of the Dinosaurs,2009,6.9
 Harrison Feldman,Girl Asleep,2016,6.2
 Harrison Ford,Indiana Jones and the Raiders of the Lost Ark,1981,8.4
 Harrison Ford,Blade Runner: Theatrical Cut,1982,8.1
 Harrison Ford,Blade Runner: The Final Cut,1982,8.1
 Harrison Ford,Indiana Jones and the Temple of Doom,1984,7.6
 Harrison Ford,Indiana Jones and the Last Crusade,1989,8.2
 Harrison Ford,Patriot Games,1992,6.9
 Harrison Ford,The Fugitive,1993,7.8
 Harrison Ford,Clear and Present Danger,1994,6.9
 Harrison Ford,Sabrina,1995,6.3
 Harrison Ford,The Devils Own,1997,6.2
 Harrison Ford,Random Hearts,1999,5.3
 Harrison Ford,Firewall,2006,5.8
 Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1
 Harrison Ford,Enders Game,2013,6.6
 Harrison Ford,42,2013,7.5
 Harrison Ford,The Expendables 3,2014,6.1
 Harrison Ford,The Age of Adaline,2015,7.2
 Harrison Ford,The Secret Life of Pets 2,2019,6.5
 Harrison Holzer,The After Party,2018,5.8
 Harrison Houde,Some Assembly Required,2014,3.6
 Harry Belafonte,Bobby Kennedy for President,2018,8.2
 Harry Borland,The Playbook,2015,5.9
 Harry Chang,Queen of No Marriage,2009,6.8
 Harry Connick Jr.,The Iron Giant,1999,8
 Harry Connick Jr.,Dolphin Tale,2011,6.9
 Harry Connick Jr.,Dolphin Tale 2,2014,6.4
 Harry Crocker,The Circus,1928,8.1
 Harry Dean Stanton,Alien,1979,8.4
 Harry Dean Stanton,Repo Man,1984,6.9
 Harry Dean Stanton,Lucky,2017,7.3
 Harry Enfield,Harry Enfield and Chums,1994,7.5
 Harry Enfield,Harry Enfield Presents...,2001,7.5
 Harry Groener,A Futile and Stupid Gesture,2018,6.8
 Harry Hamlin,Save Me,1994,3.7
 Harry Jowsey,Too Hot to Handle,2020,4.5
 Harry Lennix,The Blacklist,2013,8
 Harry Lloyd,Brave New World,2020,7.1
 Harry Mapplethorpe,Mapplethorpe: Look at the Pictures,2016,7.5
 Harry Melling,Harry Potter and the Order of the Phoenix,2007,7.5
 Harry Melling,Harry Potter and the Deathly Hallows: Part I,2010,7.7
 Harry Myers,City Lights,1931,8.5
 Harry Ratchford,Kevin Hart: Laugh at My Pain,2012,7.4
 Harry Ratchford,Kevin Hart: Let Me Explain,2013,6.8
 Harry Stanton,The Bulbuls Nest,1941,6.6
 Harry Styles,One Direction: This Is Us,2013,4.3
 Harryette Helsel,RBG,2018,7.6
 Harsh Chhaya,Shubh Aarambh,2017,6.9
 Harsh Chhaya,Out of Love,2019,7.1
 Harsh Mayar,I Am Kalam,2011,8
 Harshvardhan Kapoor,Bhavesh Joshi Superhero,2018,7.6
 Harshvardhan Kapoor,AK vs AK,2020,7
 Harshvardhan Rane,Anaamika,2014,5.6
 Hartley Power,Roman Holiday,1953,8
 Hartley Power,Roman Holiday,1953,8
 Haru,Beyond the Memories,2013,6.6
 Haru,Grasshopper,2015,5.4
 Haru,Cafe Funiculi Funicula,2018,6.9
 Haru Aoyama,From Me to You,2010,7
 Haru Kuroki,The Little House,2014,7.2
 Haruhiko Katô,Pulse,2005,6.6
 Haruka Ayase,Sengoku jieitai 1549,2005,5.1
 Haruka Ayase,Happy flight,2008,6.5
 Haruka Ayase,The Magic Hour,2008,7.2
 Haruka Ayase,Oppai Volleyball,2009,6.1
 Haruka Ayase,All-Round Appraiser Q -The Eyes of Mona Lisa,2014,6.1
 Haruka Ayase,Our Little Sister,2015,7.5
 Haruka Ayase,The Kodai Family,2016,5.6
 Haruka Ayase,Honnouji Hotel,2017,6.3
 Haruka Chisuga,Angels of Death,2018,6.4
 Haruka Fukuhara,Hello World,2019,6.8
 Haruka Igawa,Glory Of Team Batista,2008,5.9
 Haruka Imô,Demon Covered in Scars,2017,6.4
 Haruka Kinami,Torihada: The Movie,2012,6
 Haruka Kudo,Lupinranger VS Patranger VS Kyuranger,2019,8.3
 Haruka Kudô,Honey and Clover,2005,7.9
 Haruka Ohshima,Ninja Kids!!!,2011,5.8
 Haruka Shiraishi,UzaMaid!,2018,6.1
 Haruka Shiraishi,We Never Learn,2019,6.9
 Haruka Tomatsu,Sword Art Online,2012,7.6
 Haruka Tomatsu,Magi: The Labyrinth of Magic,2012,7.8
 Haruka Tomatsu,My Little Monster,2012,7.3
 Haruka Tomatsu,Sword Art Online: Extra Edition,2013,6.3
 Haruka Tomatsu,Yokai Watch: Tanjo no Himitsuda Nyan,2014,5.5
 Haruka Tomatsu,Sword Art Online the Movie: Ordinal Scale,2017,7.4
 Haruka Tomatsu,Blackfox,2019,6.2
 Haruka Tomatsu,Horimiya,2021,8.5
 Haruko Sugimura,Tokyo Story,1972,8.2
 Haruko Wanibuchi,One Missed Call 2,2005,5.4
 Haruma Miura,Sky of Love,2007,7
 Haruma Miura,From Me to You,2010,7
 Haruma Miura,Attack on Titan: Part 2,2015,4.8
 Haruma Miura,Attack on Titan: Part 1,2015,5
 Haruna Amari,Child by Children,2008,6.8
